"","PC1","PC2"
"BREAST_BT549",0.981768691231663,-8.47376939876384
"BREAST_HS578T",12.6737406289637,-3.26062390378944
"BREAST_MCF7",5.16088254611903,-1.58271937457312
"BREAST_MCF7ADR",11.0359199101129,8.38900725687154
"BREAST_MDAMB231",-110.031190029531,-46.580861823468
"BREAST_MDAMB435",-64.4114616562762,99.3411528458579
"BREAST_T47D",13.476469638838,1.38518452274844
"CNS_SF268",14.580555915397,-2.65019716826778
"CNS_SF295",10.1701622965802,-3.44354079045104
"CNS_SF539",7.69003758674115,-7.53053841373242
"CNS_SNB19",6.61243156721802,6.99651725618377
"CNS_SNB75",11.619321495395,0.610726478172136
"CNS_U251",6.04413100542584,-5.20716212651702
"COLON_COLO205",6.91847657621612,0.0434750490575813
"COLON_HCC2998",1.48591254751885,-13.0159342860749
"COLON_HCT116",2.42794680039881,-4.57045870792561
"COLON_HCT15",-74.6641149050889,75.449341176679
"COLON_HT29",10.1286910161988,3.62377477568431
"COLON_KM12",10.4943797098125,-0.897786497504311
"COLON_SW620",-80.9466888838779,29.363054989863
"LEUK_CCRFCEM",10.5450279411121,0.750166431975613
"LEUK_HL60",11.5563826353009,-3.5521599562201
"LEUK_K562",5.3643951026618,-8.4245826729864
"LEUK_MOLT4",10.2594703289659,-2.70085902963254
"LEUK_RPMI8226",11.3709645138069,-3.06301478487693
"LEUK_SR",5.09690277681365,-6.75134692287087
"MELAN_LOXIMVI",9.31634393023315,-2.03462761785685
"MELAN_M14",10.3499865425332,-4.84910153253968
"MELAN_MALME3M",8.07691837189929,0.447738811807405
"MELAN_SKMEL2",3.39836482706155,-7.9338624582132
"MELAN_SKMEL28",7.09667256680196,3.13539472644032
"MELAN_SKMEL5",7.81808762259202,-1.19187320386259
"MELAN_UACC257",10.6930548086182,-2.6323992727356
"MELAN_UACC62",10.738880551393,-1.21170840602256
"NSCLC_A549",7.84917816800288,14.1164356190887
"NSCLC_EKVX",10.5965984987914,-7.54306127649158
"NSCLC_H226",8.4956641936519,-6.85976288965243
"NSCLC_H23",9.11965114013116,4.15165437087147
"NSCLC_H322M",5.90479225040908,-1.65584013079946
"NSCLC_H460",10.1332777988418,-0.369232126627481
"NSCLC_H522",10.5307159611703,0.973842021007081
"NSCLC_HOP62",3.56444353192021,-5.9995739090062
"NSCLC_HOP92",11.6484018386227,-1.9258046346234
"OVAR_IGROV1",12.6189494524574,1.78277231147656
"OVAR_OVCAR3",11.9756256416833,-3.33176263753774
"OVAR_OVCAR4",7.51173840288981,1.05778478482105
"OVAR_OVCAR5",12.2293596892293,-0.859475441276366
"OVAR_OVCAR8",6.75474199254094,6.0220099366052
"OVAR_SKOV3",9.99759438687712,-1.12358373931972
"PROSTATE_DU145",10.1095788291596,-3.11028873141521
"PROSTATE_PC3",12.6647650507286,-3.42930690999331
"RENAL_7860",8.8449546320643,-7.77505521522457
"RENAL_A498",2.92379921983074,-5.02607892630088
"RENAL_ACHN",-128.057319628018,-77.5314927609453
"RENAL_CAKI1",8.24161596844655,0.0979313706238136
"RENAL_RXF393",6.05905711621133,-4.01561688684879
"RENAL_SN12C",9.40726420457965,-3.3245846743129
"RENAL_TK10",-0.311076884671351,22.9609317836897
"RENAL_UO31",8.05780356726346,-5.25924728026257
